cy,fill,radius,cx
252.20,#ffe62d,5.37,309.47
354.10,#ff84e2,5.37,282.71
360.74,#ffe62d,5.37,277.14
301.61,#1481e3,5.37,395.2899
332.21,#ffe62d,5.37,374.51
332.96,#ff84e2,5.37,378.77
268.74,#ff84e2,5.37,403.28
253.22,#ffe62d,5.37,401.62
197.76,#ff84e2,5.37,389.4199
270.64,#1481e3,5.37,176.51
398.11,#ff84e2,5.37,294.73
408.95,#ffe62d,5.37,334.5900
157.55,#ff84e2,5.37,290.98
126.37,#ff84e2,5.37,243.7200
121.07,#1481e3,5.37,321.6
461.27,#ffe62d,5.37,285.8
96.21,#ff84e2,5.37,288.61
468.65,#ffe62d,5.37,284.49
473.48,#ffe62d,5.37,290.24
477.10,#ff84e2,5.37,267.61
484.49,#ff84e2,5.37,266.31
487.05,#ff84e2,5.37,259.26
72.68,#ffe62d,5.37,327.9299
489.62,#ff84e2,5.37,252.2200
491.87,#ff84e2,5.37,265.01
494.13,#ff84e2,5.37,277.8
495.63,#ffe62d,5.37,286.33
492.18,#ff84e2,5.37,245.1700
137.87,#ff84e2,5.37,136.1600
137.12,#ffe62d,5.37,131.8999
262.15,#ffe62d,5.31,301.12
258.97,#ffe62d,5.31,347.85
292.27,#1481e3,5.31,363.9600
341.90,#ff84e2,5.31,278.26
289.71,#1481e3,5.31,371.01
277.50,#1481e3,5.31,366.5599
350.79,#ffe62d,5.31,285.49
355.92,#ffe62d,5.31,271.4
356.23,#ffe62d,5.31,251.55
328.14,#ff84e2,5.31,373.02
321.51,#1481e3,5.31,378.5900
269.81,#1481e3,5.31,387.7100
248.40,#ffe62d,5.31,395.88
395.68,#1481e3,5.31,345.73
241.77,#ff84e2,5.31,401.4500
392.85,#ffe62d,5.31,264.88
216.29,#ffe62d,5.31,408.14
161.00,#ffe62d,5.31,332.14
147.03,#1481e3,5.31,231.2799
136.32,#ff84e2,5.31,235.37
152.91,#ffe62d,5.31,221.45
166.18,#ff84e2,5.31,210.32
138.89,#ff84e2,5.31,228.32
133.27,#1481e3,5.31,326.0399
122.57,#ff84e2,5.31,330.13
463.83,#ffe62d,5.31,278.75
93.34,#ff84e2,5.31,315.5
474.54,#ff84e2,5.31,274.66
478.91,#ffe62d,5.31,256.3
481.92,#ff84e2,5.31,273.36
486.74,#ff84e2,5.31,279.11
498.95,#ff84e2,5.31,283.55
196.83,#ffe62d,5.31,81.8000
52.69,#ffe62d,5.31,192.95
514.34,#ff84e2,5.31,241.26
519.16,#ff84e2,5.31,247.01
256.27,#1481e3,5.26,310.95
266.36,#ffe62d,5.26,346.5499
255.65,#1481e3,5.26,350.63
248.27,#1481e3,5.26,351.9299
240.88,#1481e3,5.26,353.24
333.27,#ff84e2,5.26,358.9299
306.74,#1481e3,5.26,381.2000
280.73,#ffe62d,5.26,212.1000
349.15,#ffe62d,5.26,233.0199
347.74,#ff84e2,5.26,376.1699
402.31,#ff84e2,5.26,340.1599
210.72,#1481e3,5.26,398.13
409.70,#ff84e2,5.26,338.86
160.74,#ff84e2,5.26,244.25
224.43,#ff84e2,5.26,411.1
163.30,#ff84e2,5.26,237.2099
405.05,#ffe62d,5.26,269.33
408.68,#ff84e2,5.26,246.7
124.25,#1481e3,5.26,274.87
150.65,#ffe62d,5.26,208.6600
456.45,#ffe62d,5.26,280.05
466.40,#ffe62d,5.26,271.7
480.86,#ffe62d,5.26,288.94
52.38,#ffe62d,5.26,212.8
131.24,#1481e3,5.26,141.7300
497.00,#ff84e2,5.26,250.9100
167.59,#ffe62d,5.26,67.1700
270.60,#ff84e2,5.20,284.24
299.39,#ffe62d,5.20,274.77
281.88,#ff84e2,5.20,348.2100
259.41,#ff84e2,5.20,371.9500
356.67,#ff84e2,5.20,275.66
233.94,#ffe62d,5.20,378.64
